Country,Spam,Ransomware,Local Infection,Exploit,Malicious Mail,Network Attack,On Demand Scan,Web Threat,Total Threat Score
Anguilla,2.4545454545454545e-05,,,,,,,,2.4545454545454545e-05
Antarctica,0.00026000000000000003,,,,,,,,0.00026000000000000003
Antigua and Barbuda,4.919254658385093e-05,,,,,,,,4.919254658385093e-05
Arab Republic of Egypt,0.0013852319587628866,0.00021692513368983958,0.01181631168831169,0.0001396143250688705,0.0014141237113402063,0.006514742268041237,0.009857473958333333,0.013567879581151831,0.04491230262469989
Argentine Republic,0.008502809278350516,8.681818181818182e-05,0.008687064935064935,0.0003258677685950413,0.001516881443298969,0.0014968814432989692,0.008504453125,0.0106982722513089,0.03981904842673551
Aruba,7.34567901234568e-05,0.000905,0.009194587628865979,0.0010735862068965518,0.0018791216216216219,0.0019791489361702125,0.005944536082474227,0.006817783505154639,0.02786722077130669
Bailiwick of Guernsey,1e-05,,0.0051234848484848486,0.0014192307692307694,0.001432,0.0020114814814814813,0.00416923076923077,0.0067557575757575756,0.020921185444185444
Bailiwick of Jersey,6.604166666666667e-05,0.00041375,0.006467740259740259,0.0012330640668523677,0.0008471380471380471,0.003007079646017699,0.005469479166666667,0.010654633507853404,0.02815892636093511
Barbados,4.9269406392694065e-05,0.00038620689655172413,0.005266311688311688,0.00041999999999999996,0.0011615267175572519,0.0007734023668639052,0.005194583333333333,0.018407513089005238,0.03165881349801583
Belize,4.8506787330316746e-05,0.000353304347826087,0.0065631948051948046,0.00037158075601374574,0.0010732634730538921,0.000715958904109589,0.0065804687499999995,0.016021151832460733,0.03172742965598917
Bermuda,6.416666666666668e-05,,,,,,,,6.416666666666668e-05
Bolivarian Republic of Venezuela,0.0015314690721649484,0.00019981233243967827,0.015276623376623376,0.00025068870523415975,0.0006027390180878552,0.0053132474226804125,0.013080052083333333,0.015450549738219896,0.05170518174878366
Bosnia and Herzegovina,0.0007633505154639175,7.136666666666668e-05,0.011124857142857145,0.00010804407713498622,0.003496072351421189,0.0012505670103092783,0.009674895833333334,0.01286586387434555,0.03935501747153206
Burkina Faso,0.0001569230769230769,4.994505494505495e-05,0.02486225974025974,0.0005122314049586776,0.0002712727272727273,0.0005028865979381443,0.01631125,0.007516387434554974,0.050183156036852396
Canada,0.008730618556701032,2.625668449197861e-05,0.0073871168831168834,0.0013949586776859503,0.0006801030927835052,0.0011239948453608246,0.006074296875,0.012874947643979059,0.03829229325911923
Cayman Islands,3.2173913043478265e-05,,,,,,,,3.2173913043478265e-05
Central African Republic,1.4285714285714287e-05,0.00022818181818181818,0.02068020779220779,0.0007756509695290858,0.00028648026315789476,0.0010377289377289378,0.014512057291666667,0.0056532722513089,0.043187865038066806
Co-operative Republic of Guyana,3.862745098039215e-05,0.00030125,0.005629376623376624,0.00037420454545454546,0.0007495172413793103,0.0006890184049079754,0.005476328125,0.021004659685863875,0.03426298207696272
Collectivity of Saint Martin,0.0001676923076923077,0.0006842857142857143,0.0046869791666666666,0.0009415413533834586,0.000867718120805369,0.0008946688741721854,0.0030102133333333335,0.008375942408376963,0.019629041278715998
Commonwealth of Australia,0.0025899484536082472,3.670241286863271e-05,0.007805662337662338,0.001154931129476584,0.001287061855670103,0.0006499742268041238,0.0057300520833333335,0.011564109947643978,0.03081844244706734
Commonwealth of Dominica,2.935483870967742e-05,,,,,,,,2.935483870967742e-05
Commonwealth of Puerto Rico,7.584070796460177e-05,0.00012805970149253732,0.007755454545454545,0.00039195266272189347,0.0006390965732087227,0.0016397422680412372,0.007796223958333333,0.0071302879581151835,0.025556658375332053
Commonwealth of the Bahamas,9.219298245614035e-05,0.0006254545454545455,0.0060465454545454555,0.001295875486381323,0.0008388118811881189,0.0007990979381443299,0.00473130548302872,0.012776020942408378,0.027205304713607013
Commonwealth of the Northern Mariana Islands,2.6551724137931036e-05,,,,,,,,2.6551724137931036e-05
Congo (Democratic Republic of the),6.26829268292683e-05,7.270588235294118e-05,0.02327031168831169,0.00047666666666666663,0.00028339522546419097,0.0007689948453608248,0.014634531249999999,0.007991884816753928,0.04756117330173951
Country of Curaçao,3.5582822085889576e-05,0.000711,0.003857574931880109,0.0005736764705882352,0.0016153478260869567,0.0019045173745173745,0.0035416666666666665,0.004992994505494505,0.017232360597319737
Czech Republic,0.004104226804123712,3.78167115902965e-05,0.006918233766233767,0.0005565289256198347,0.0009124226804123712,0.0008598969072164948,0.00425953125,0.013372931937172775,0.03102158898236925
Democratic People's Republic of Korea,1.5000000000000002e-05,,,,,,,,1.5000000000000002e-05
Democratic Republic of São Tomé and Príncipe,4.7045454545454554e-05,,,,,,,,4.7045454545454554e-05
Democratic Republic of Timor-Leste,0.002731454005934718,0.0003813636363636364,0.015142987012987013,0.0005890228013029316,0.0006067100977198697,0.0014973118279569893,0.012842760416666666,0.007933403141361256,0.04172501294029308
Democratic Socialist Republic of Sri Lanka,0.0006310443864229765,6.954545454545455e-05,0.020856883116883117,0.00028308539944903584,0.0009865979381443299,0.002959639175257732,0.014333333333333335,0.0205848167539267,0.060704945557962686
Department of Mayotte,2.25e-05,0.000564,0.006941948051948052,0.0005905882352941177,0.0006532530120481928,0.0008264772727272728,0.00415375,0.008071832460732984,0.02182434903275062
Dominican Republic,0.0008970103092783506,0.00020834319526627217,0.008643012987012987,0.00015881542699724518,0.0017519740259740262,0.0022106701030927835,0.009165364583333334,0.0088715445026178,0.0319067351335728
Faroe Islands,2.5714285714285714e-05,,,,,,,,2.5714285714285714e-05
Federal Democratic Republic of Ethiopia,0.0007674742268041236,0.00013727272727272728,0.01681568831168831,0.00016044077134986227,0.0004233854166666667,0.005950438144329897,0.013514817708333333,0.012918376963350785,0.050687894269795704
Federal Democratic Republic of Nepal,0.000851340206185567,8.062500000000001e-05,0.02080155844155844,0.0008035812672176309,0.0004022164948453608,0.0015369329896907217,0.015421588541666668,0.02187850785340314,0.06177635079456753
Federal Republic of Germany,0.03836329896907217,3.20855614973262e-05,0.007070727272727273,0.0009316804407713499,0.0006157216494845361,0.0004568298969072165,0.00359140625,0.013384502617801046,0.06444625265826091
Federal Republic of Nigeria,0.0013803865979381442,9.864864864864864e-05,0.01672646753246753,0.0003069421487603306,0.0007854896907216495,0.0009890721649484537,0.010708906249999999,0.015248900523560208,0.04624481355704496
Federal Republic of Somalia,6.220858895705522e-05,4.8034188034188034e-05,0.01835012987012987,0.00046961432506887056,7.971608832807571e-05,0.00040623376623376625,0.011641015625,0.018302513089005237,0.04935946554075706
Federated States of Micronesia,1e-05,,,,,,,,1e-05
Federation of Saint Christopher and Nevisa,4.8987341772151904e-05,,,,,,,,4.8987341772151904e-05
Federative Republic of Brazil,0.022120103092783505,6.911764705882354e-05,0.015554311688311688,0.00034763085399449034,0.0006026546391752577,0.0014796134020618557,0.009888385416666668,0.010183664921465968,0.06024548166151826
French Polynesia,0.000126969696969697,0.00014415584415584416,0.00637374025974026,0.00030442815249266865,0.0020871934604904632,0.001425103092783505,0.006130859375,0.01193801047120419,0.02853046035283663
French Republic,0.02466770618556701,3.815013404825737e-05,0.006088415584415585,0.0010412121212121212,0.000434639175257732,0.0005998453608247423,0.004652265625,0.011467958115183247,0.048990192301508695
